Size,DiscountNJ,RapidNJ,Quicktree,QT_DNJ,RNJ_DNJ
90,2,0.04324670000005426,0.09557849999964674,0.04778924999982337,0.02162335000002713
215,8,0.07577840000067226,0.2236675999993167,0.02795844999991459,0.009472300000084033
305,21,0.10967770000024755,0.3636243000000832,0.01731544285714682,0.005222747619059408
402,57,0.15679280000040308,0.6334999999999127,0.011114035087717767,0.002750750877200054
495,95,0.19048759999986944,0.7318531999999323,0.007703717894736129,0.002005132631577573
609,172,0.3094248000006701,0.977120300000024,0.005680931976744325,0.001798981395352733
778,243,0.4293072000000393,1.351343100000122,0.0055610827160498845,0.001766696296296458
878,384,0.592099500000586,2.0662041000005047,0.005380739843751314,0.001541925781251526
1348,1136,1.428834000000279,6.864724500000193,0.006042891285211438,0.0012577764084509499
1494,1483,1.479916599999342,7.1867277000001195,0.00484607397167911,9.979208361425098e-4
1561,1604,1.6625794999999923,8.271253299999444,0.0051566417082290796,0.0010365208852867783
1690,2019,1.9976104999996096,10.287296100000276,0.005095243239227477,9.894058940067407e-4
1757,2302,2.191108600000007,10.469230199999402,0.004547884535186534,9.518282363162497e-4
1850,2753,2.280963299999712,13.159717000000455,0.004780136941518509,8.285373410823509e-4
